Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
28	0.701201	0.020215	0.20745	0.802523	0.0825533	0.23319	0.446723	0.0345475	0.21656	0.633758	0.0525017	0.0403	-0.0333475	0.0529287	0.218631	-0.0206233	0.06602	0.246598	-0.204375	8.50466	0.291511	-0.267548	9.10652	0.435583
29	0.672687	0.0328275	0.229154	0.78176	0.0857117	0.246495	0.417883	0.0401	0.190455	0.598335	0.056445	0.0389717	-0.030935	0.0618875	0.243167	-0.01743	0.0729433	0.262007	-0.146993	8.31698	0.260439	-0.210433	8.88919	0.39803
30	0.656245	0.0466325	0.255293	0.762648	0.0877067	0.26344	0.394981	0.0463325	0.165017	0.56506	0.0603517	0.0393167	-0.0278113	0.0719288	0.270949	-0.01468	0.08033	0.278455	-0.0956962	8.18207	0.234485	-0.156803	8.70016	0.36491
31	0.648133	0.0587088	0.282153	0.745507	0.0912767	0.27979	0.378523	0.053525	0.141374	0.535975	0.0643583	0.0391217	-0.023905	0.0831387	0.302227	-0.0119367	0.0883883	0.296463	-0.0480187	8.09346	0.217111	-0.105717	8.54712	0.338118
32	0.640633	0.06532	0.295431	0.730707	0.09567	0.294833	0.367386	0.0607038	0.117006	0.512237	0.06861	0.03801	-0.0191263	0.0955238	0.337266	-0.00868	0.0973	0.316702	-0.00286	8.04305	0.210096	-0.0569167	8.43231	0.318077
33	0.627678	0.0663412	0.295755	0.712628	0.0955767	0.303703	0.35954	0.0670787	0.0908362	0.49213	0.0728767	0.036905	-0.0131875	0.109149	0.376316	-0.00449	0.10703	0.339732	0.0403113	8.02604	0.212532	-0.011255	8.35384	0.304908
34	0.611308	0.0655238	0.296539	0.692522	0.091895	0.308892	0.354025	0.0731037	0.0642687	0.475163	0.0774067	0.0359217	-0.005985	0.124166	0.419631	0.000926667	0.11776	0.366502	0.0820412	8.04239	0.220925	0.0301033	8.30921	0.2985
35	0.592048	0.0656775	0.302017	0.677152	0.09136	0.316958	0.349431	0.0793	0.0375325	0.462252	0.0826083	0.0332967	0.002265	0.14059	0.46766	0.00760333	0.129805	0.398077	0.122543	8.09485	0.230907	0.0669033	8.29527	0.298452
36	0.575666	0.0678525	0.309409	0.668568	0.094425	0.32889	0.346264	0.08603	0.0105013	0.452963	0.088735	0.0290767	0.0112963	0.158521	0.520955	0.0153917	0.143462	0.43519	0.161027	8.18397	0.240204	0.099485	8.31135	0.304223
37	0.571779	0.0729288	0.321134	0.670132	0.0988917	0.343385	0.345844	0.0935738	-0.0164675	0.446847	0.0958333	0.023615	0.0210075	0.17814	0.580155	0.0241067	0.158925	0.478268	0.195755	8.30407	0.249495	0.128595	8.35933	0.315428
38	0.582309	0.0811212	0.342429	0.681955	0.105057	0.363315	0.348023	0.102233	-0.04232	0.44374	0.10399	0.0169417	0.031085	0.199658	0.6458	0.033395	0.176358	0.527673	0.225314	8.44522	0.260871	0.15549	8.44111	0.331427
39	0.60232	0.0905662	0.368215	0.69817	0.111882	0.389188	0.352322	0.112102	-0.06673	0.44253	0.112975	0.00901167	0.0410862	0.223316	0.717896	0.04326	0.19591	0.583857	0.249702	8.59987	0.276635	0.181335	8.55698	0.35142
40	0.626256	0.100762	0.398073	0.71584	0.116493	0.415355	0.358085	0.122863	-0.089835	0.442082	0.122267	-0.000918333	0.0507575	0.249173	0.795955	0.0538533	0.217542	0.647108	0.270516	8.76615	0.298296	0.207838	8.70459	0.374778
