Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
36	0.603987	0.188957	-0.103223	0.438594	0.0432614	0.603787	0.208228	0.203824	-0.174667	0.13475	0.0450039	0.419608	0.200936	0.565031	1.22369	0.00255429	0.211651	0.525	-0.040819	8.47308	0.505735	-0.0731725	7.30866	0.457202
37	0.611953	0.19632	-0.0789724	0.459385	0.0488904	0.644406	0.194686	0.207998	-0.18396	0.14274	0.0491668	0.417485	0.218788	0.596714	1.30568	0.0111354	0.23484	0.576566	-0.0420866	8.64279	0.506444	-0.0354793	7.56467	0.477152
38	0.622692	0.203629	-0.0573762	0.483918	0.0549657	0.691165	0.183473	0.212415	-0.193389	0.153992	0.0534493	0.417701	0.237757	0.630678	1.38788	0.02083	0.258822	0.628552	-0.0266831	8.85304	0.506304	0.0132975	7.84482	0.50099
39	0.632949	0.210781	-0.0358721	0.510596	0.0608268	0.743455	0.174647	0.217025	-0.203336	0.168145	0.0575157	0.420149	0.257407	0.666334	1.46759	0.0317461	0.283357	0.680427	0.0127459	9.09737	0.505507	0.0766543	8.14743	0.527932
40	0.642919	0.217782	-0.00823345	0.535767	0.0659893	0.802578	0.169385	0.221986	-0.212907	0.183837	0.0610614	0.425954	0.277906	0.703143	1.54275	0.0438021	0.308021	0.73113	0.0791324	9.36377	0.505569	0.15639	8.46809	0.557498
41	0.653586	0.224578	0.0317655	0.557626	0.0704279	0.86902	0.16868	0.2273	-0.220691	0.200075	0.0641736	0.436643	0.299575	0.740533	1.61268	0.0574611	0.3327	0.779503	0.170357	9.6392	0.508306	0.251216	8.79798	0.589889
42	0.666857	0.230978	0.0841393	0.575855	0.0739439	0.93983	0.173551	0.232891	-0.225185	0.215306	0.0669771	0.453258	0.322555	0.777839	1.67667	0.0729529	0.357192	0.824375	0.280616	9.91214	0.516029	0.357554	9.12364	0.62386
43	0.685349	0.236786	0.143941	0.590683	0.0758268	1.00902	0.184546	0.238684	-0.225043	0.227973	0.0696339	0.476594	0.346977	0.814758	1.73404	0.0901807	0.380907	0.863654	0.403802	10.1724	0.531777	0.470849	9.42598	0.656682
44	0.708655	0.241335	0.205329	0.602781	0.0750264	1.07055	0.200299	0.244216	-0.218154	0.237126	0.0720393	0.506867	0.372552	0.850981	1.78414	0.108679	0.402818	0.895219	0.534176	10.4108	0.557681	0.587302	9.68483	0.685121
45	0.734342	0.243232	0.260114	0.611091	0.0710168	1.12062	0.218911	0.24885	-0.20333	0.242261	0.0738807	0.542986	0.39892	0.886012	1.82559	0.127664	0.421653	0.916945	0.668012	10.6165	0.593613	0.705424	9.88073	0.705854
46	0.757981	0.241454	0.304783	0.614001	0.0639775	1.15846	0.238213	0.252061	-0.18046	0.243615	0.0748386	0.582736	0.425649	0.919288	1.85667	0.146594	0.436126	0.926634	0.803728	10.7772	0.636191	0.826366	9.99513	0.717429
47	0.773741	0.235358	0.338543	0.60936	0.0544407	1.18376	0.255861	0.253196	-0.150546	0.241046	0.0743579	0.623049	0.452295	0.949764	1.87565	0.16473	0.444674	0.922356	0.941019	10.8805	0.679775	0.952964	10.0125	0.720141
48	0.778933	0.225073	0.358868	0.595004	0.0436961	1.19687	0.270172	0.251926	-0.11693	0.233875	0.0725439	0.661043	0.478392	0.976282	1.88135	0.181028	0.445848	0.901749	1.08223	10.9142	0.71833	1.08733	9.91611	0.713994
49	0.77369	0.21159	0.364796	0.566149	0.0324761	1.19453	0.279429	0.248132	-0.0835076	0.220605	0.0693539	0.693057	0.502603	0.997083	1.87264	0.194131	0.437648	0.862086	1.23055	10.8647	0.74643	1.22775	9.68373	0.697469
50	0.756967	0.196036	0.357161	0.515479	0.0205457	1.17046	0.28177	0.241801	-0.0527507	0.198186	0.0640054	0.71444	0.522802	1.00938	1.84655	0.201737	0.417147	0.800257	1.38764	10.7128	0.759523	1.36606	9.28536	0.665907
51	0.723931	0.17884	0.334811	0.439117	0.00823214	1.12137	0.275345	0.232763	-0.027221	0.163764	0.0560043	0.721249	0.536981	1.00965	1.79859	0.200537	0.381118	0.712181	1.55088	10.4302	0.753275	1.48563	8.68338	0.612056
52	0.665899	0.159354	0.298046	0.337983	-0.003715	1.05511	0.25781	0.219745	-0.00858345	0.11559	0.0445189	0.712831	0.542641	0.992619	1.72249	0.186236	0.325877	0.594938	1.70931	9.9803	0.723015	1.56203	7.84862	0.529037
53	0.575941	0.137232	0.256229	0.221308	-0.0139279	0.991213	0.226799	0.200782	0.00330793	0.0560254	0.0293293	0.693453	0.536259	0.95116	1.61016	0.154882	0.249274	0.44907	1.84287	9.31944	0.664771	1.56753	6.78172	0.415343
54	0.458631	0.113508	0.228005	0.102927	-0.0208707	0.947268	0.182246	0.174604	0.0115697	-0.00703607	0.0117446	0.669314	0.513207	0.878414	1.45502	0.105343	0.153445	0.279523	1.92178	8.41443	0.577542	1.47721	5.52575	0.280174
55	0.333795	0.0905466	0.237584	-0.0102932	-0.0237771	0.920032	0.129418	0.142428	0.0241159	-0.0648721	-0.00666464	0.64084	0.46879	0.771466	1.25654	0.0405536	0.0456561	0.0968704	1.90951	7.26726	0.465544	1.27845	4.16822	0.142467
56	0.222388	0.0700245	0.293654	-0.112756	-0.0217639	0.89673	0.0778993	0.107585	0.0476683	-0.110539	-0.0234482	0.603795	0.401743	0.634076	1.02208	-0.0327014	-0.0617296	-0.08377	1.77235	5.92839	0.339434	0.982059	2.82803	0.0241382
