Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
28	0.60769	-0.0088025	-0.217083	0.755999	-0.0315029	-0.184523	0.260517	0.02936	0.269523	0.385289	0.0400443	0.241379	0.0305475	0.175385	0.617465	-0.0230457	0.152613	0.40098	-0.442282	8.34811	0.351115	-0.139466	8.19322	0.386309
29	0.59236	0.0006675	-0.196207	0.748477	-0.0234886	-0.167629	0.242362	0.03368	0.237965	0.37561	0.0443343	0.220456	0.03196	0.185052	0.6429	-0.0247414	0.164767	0.429391	-0.392437	8.24858	0.338255	-0.101046	8.14332	0.3875
30	0.583828	0.0101325	-0.176273	0.739821	-0.0145671	-0.156417	0.226022	0.03846	0.207005	0.366571	0.0495043	0.198254	0.0334725	0.19532	0.669092	-0.0271614	0.178086	0.460199	-0.344465	8.18052	0.321558	-0.0614171	8.11916	0.388007
31	0.582357	0.0188275	-0.160412	0.730846	-0.00537	-0.14727	0.213603	0.04279	0.174078	0.35819	0.0549071	0.174196	0.0362525	0.206423	0.696538	-0.0296943	0.19277	0.494024	-0.297063	8.14603	0.307242	-0.0210371	8.12171	0.386844
32	0.583723	0.026645	-0.148195	0.7228	0.00376286	-0.135424	0.205763	0.046385	0.13865	0.35076	0.05998	0.147886	0.0409125	0.218488	0.725588	-0.03183	0.208897	0.53137	-0.248663	8.14485	0.300445	0.0189043	8.14761	0.385091
33	0.583272	0.0341825	-0.135275	0.716471	0.0128829	-0.116899	0.20189	0.04997	0.101995	0.344623	0.06462	0.119496	0.04715	0.231603	0.75642	-0.0333357	0.226443	0.572437	-0.197215	8.17468	0.302908	0.05714	8.18992	0.385169
34	0.581342	0.0424575	-0.11873	0.712131	0.02205	-0.0917843	0.201433	0.05456	0.065205	0.34021	0.0691857	0.0896729	0.0542475	0.245925	0.789162	-0.0342371	0.245354	0.616979	-0.140888	8.23239	0.313227	0.0929114	8.24148	0.38961
35	0.582703	0.052035	-0.0985775	0.710729	0.0310414	-0.0670486	0.204117	0.0606575	0.0287475	0.337989	0.07411	0.0586043	0.0616175	0.26163	0.823915	-0.0346957	0.265539	0.664461	-0.0789625	8.31554	0.32892	0.126534	8.29797	0.399731
36	0.590658	0.06237	-0.0786425	0.713051	0.0397857	-0.0494886	0.20964	0.0681075	-0.0070475	0.33819	0.07967	0.0261329	0.069105	0.278805	0.860502	-0.0348229	0.286937	0.714283	-0.0117	8.42274	0.348233	0.159529	8.35969	0.415
37	0.60396	0.0726675	-0.06167	0.718734	0.0483086	-0.0393729	0.217525	0.076295	-0.042225	0.340581	0.0860329	-0.00724143	0.07706	0.297345	0.898435	-0.0346614	0.309544	0.765909	0.0605625	8.55266	0.370422	0.19421	8.43093	0.433561
38	0.618935	0.08278	-0.04452	0.726961	0.0565029	-0.0324414	0.226915	0.0845475	-0.07677	0.344781	0.0932486	-0.0405771	0.0859675	0.317025	0.937145	-0.0341071	0.333456	0.818986	0.13797	8.70317	0.394847	0.233187	8.51851	0.453459
39	0.632945	0.092815	-0.0255375	0.737147	0.0645029	-0.0236071	0.236912	0.0925325	-0.110158	0.350643	0.101229	-0.0734371	0.096	0.337605	0.976135	-0.03287	0.358861	0.87343	0.221038	8.87223	0.419863	0.279131	8.63041	0.473666
40	0.645445	0.102545	-0.0065925	0.748763	0.0726929	-0.00978714	0.246818	0.100348	-0.141373	0.35833	0.109799	-0.105894	0.106908	0.358988	1.01508	-0.0305043	0.385971	0.929187	0.310555	9.05834	0.4426	0.334717	8.77326	0.493997
41	0.65848	0.111715	0.010775	0.761676	0.0815514	0.0102971	0.256603	0.108265	-0.169025	0.368071	0.118837	-0.137827	0.118248	0.38126	1.05385	-0.0265314	0.414821	0.985844	0.407183	9.25967	0.46032	0.40244	8.95019	0.514333
42	0.67597	0.120305	0.0269625	0.775131	0.0912729	0.0374029	0.266925	0.116402	-0.191693	0.37948	0.128226	-0.168324	0.129692	0.404495	1.09208	-0.0205743	0.445201	1.04256	0.510792	9.47096	0.471955	0.483841	9.15912	0.53402
43	0.698058	0.12793	0.0427775	0.788079	0.101036	0.0691471	0.277567	0.12436	-0.208517	0.391867	0.137616	-0.19616	0.14139	0.428368	1.1286	-0.0123343	0.476569	1.09808	0.620243	9.68009	0.47837	0.578669	9.39131	0.551934
44	0.719755	0.133563	0.05835	0.800657	0.109613	0.102536	0.287197	0.131213	-0.219277	0.404936	0.146479	-0.220107	0.154128	0.452115	1.16151	-0.00168286	0.508054	1.15082	0.733375	9.8695	0.481627	0.684771	9.63157	0.566839
45	0.73709	0.136542	0.0753075	0.813417	0.116269	0.137183	0.295133	0.136113	-0.22374	0.418297	0.154361	-0.238411	0.168938	0.474908	1.18883	0.0112629	0.538686	1.19899	0.847227	10.0216	0.483657	0.798567	9.86122	0.577971
46	0.750888	0.13738	0.097725	0.826449	0.120953	0.173404	0.302148	0.138893	-0.221118	0.431283	0.160969	-0.249379	0.18623	0.495938	1.20887	0.0262429	0.567657	1.2409	0.958943	10.1225	0.485557	0.91591	10.0618	0.585767
47	0.763315	0.137235	0.128252	0.83928	0.124164	0.210334	0.309307	0.139863	-0.210863	0.443509	0.166131	-0.252399	0.205615	0.514575	1.22048	0.0429414	0.594359	1.27495	1.06625	10.1637	0.48771	1.03329	10.2169	0.591739
48	0.773317	0.136858	0.164928	0.84977	0.126296	0.24571	0.31651	0.139517	-0.193615	0.454373	0.169806	-0.247721	0.226588	0.530882	1.22372	0.0610614	0.618224	1.29969	1.16716	10.1434	0.489895	1.14874	10.3131	0.597203
49	0.777648	0.136247	0.203602	0.853454	0.127013	0.27589	0.32266	0.13876	-0.170582	0.462026	0.171919	-0.236103	0.249072	0.545998	1.22001	0.0802171	0.638611	1.31394	1.26001	10.0659	0.491075	1.2615	10.3394	0.601187
50	0.773828	0.134875	0.236383	0.844437	0.125649	0.297989	0.326765	0.138767	-0.144025	0.463516	0.172239	-0.218849	0.273282	0.561573	1.21126	0.0999257	0.654584	1.3166	1.34416	9.93425	0.488715	1.37113	10.2858	0.599079
